Date,Price,Open,High,Low,Vol.,Change %
30/07/2025,125.92,128.67,130.16,125.08,482.29K,-2.08%
29/07/2025,128.6,125.95,128.62,125.48,434.86K,2.08%
28/07/2025,125.98,128.18,128.33,125.39,566.61K,-2.21%
25/07/2025,128.83,127.34,129.34,127.04,505.81K,0.45%
24/07/2025,128.25,128.16,129.48,126.3,467.46K,-0.65%
23/07/2025,129.09,130.17,131.82,128.74,641.03K,-0.84%
22/07/2025,130.19,126.5,131.17,126.16,838.95K,4.08%
21/07/2025,125.09,123.09,126.09,123.07,575.83K,3.18%
18/07/2025,121.23,122.89,122.95,120.79,545.02K,-0.92%
17/07/2025,122.35,122.75,123.45,121.56,536.17K,-1.21%
16/07/2025,123.85,124.7,125.5,123.05,459.92K,-0.39%
15/07/2025,124.33,125.4,125.9,122.34,463.13K,-0.69%
14/07/2025,125.19,125.52,127.64,125.02,549.42K,0.51%
11/07/2025,124.55,123.86,125.25,122.8,528.93K,1.43%
10/07/2025,122.8,122.5,122.98,120.6,707.75K,0.99%
09/07/2025,121.6,118.6,121.68,118.05,742.36K,2.49%
08/07/2025,118.65,126.03,126.04,117.13,984.32K,-6.22%
07/07/2025,126.52,122.82,126.72,120.5,689.98K,1.83%
04/07/2025,124.25,124.17,124.51,123.63,148.98K,0.75%
03/07/2025,123.32,120.46,123.39,120.45,377.07K,1.16%
02/07/2025,121.91,122.61,122.95,120.64,673.32K,-0.45%
30/06/2025,122.46,119.79,122.72,118.66,849.24K,2.31%
27/06/2025,119.7,120,120.43,118.57,879.89K,-2.77%
26/06/2025,123.11,122.59,123.22,121.65,664.69K,0.47%
25/06/2025,122.54,121.05,123.65,120.93,630.11K,0.86%
24/06/2025,121.5,120.69,122.13,118.26,1.02M,-1.92%
23/06/2025,123.88,122.95,125.88,122.95,439.58K,0.99%
20/06/2025,122.66,123,125.28,122.47,1.79M,-0.40%
19/06/2025,123.15,124.31,124.32,122.8,206.36K,-1.30%
18/06/2025,124.77,124.63,125.55,124.11,536.14K,0.17%
17/06/2025,124.56,125.32,125.55,122.99,496.59K,-0.10%
16/06/2025,124.69,123.07,125.31,122.83,520.31K,0.10%
13/06/2025,124.57,124.61,125.5,123.62,1.01M,1.28%
12/06/2025,123,123.13,124.25,122.45,650.49K,0.99%
11/06/2025,121.8,120.72,121.84,120.29,456.95K,1.00%
10/06/2025,120.6,122.37,122.47,119.14,660.35K,-1.12%
09/06/2025,121.96,121,122.01,119.73,585.59K,0.36%
06/06/2025,121.52,125.44,125.59,121.07,736.95K,-2.95%
05/06/2025,125.21,128.71,129.87,124.39,842.61K,-1.40%
04/06/2025,126.99,126.3,127.28,125.41,764.80K,0.91%
03/06/2025,125.84,125.18,125.94,123.38,599.53K,0.02%
02/06/2025,125.82,121.52,125.89,121.12,812.55K,5.81%
30/05/2025,118.91,118.32,120,118.1,3.49M,0.07%
29/05/2025,118.83,119.21,119.68,118.33,494.97K,-0.38%
28/05/2025,119.28,118.41,119.28,117.34,746.50K,0.85%
27/05/2025,118.27,116.56,119.04,116.42,969.37K,-1.13%
26/05/2025,119.62,118.24,120.28,117.76,196.61K,0.60%
23/05/2025,118.91,118.95,119.69,117.79,528.20K,1.39%
